"unidade";"natureza da despesa";"valor"
"CT - ANDIFES";"EQUIP. MATERIAL PERMANENTE";"R$       138.707,46"
"CUIDADOS DOMICILIARES PARA IDOSOS EM CONDIÇÃO DE FRAGILIDADE";"CUSTEIO";"R$         5.987,00"
"CUIDADOS DOMICILIARES PARA IDOSOS EM CONDIÇÃO DE FRAGILIDADE";"EQUIP. MATERIAL PERMANENTE";"R$         3.152,95"
"CUIDADOS DOMICILIARES PARA IDOSOS EM CONDIÇÃO DE FRAGILIDADE";"MAT. CONSUMO";"R$         1.366,92"
"CUIDADOS FARMACÊUTICOS A IDOSOS INTERNADOS NO HOSPITAL UNIVERSITÁRIO ONOFRE LOPES";"CUSTEIO";"R$         1.504,50"
"CUIDADOS FARMACÊUTICOS À PACIENTES EM TERAPIA INTENSIVA";"CUSTEIO";"R$         1.000,00"
"CULTIVO DE ALGAS MARINHAS: TECNOLOGIA SOCIAL E AMBIENTAL APOIANDO COMUNIDADES TRADICIONAIS NO NORDESTE DO BRASIL";"AUX. FINANCEIRO ESTUDANTE";"R$        23.480,00"
"CULTIVO DE ALGAS MARINHAS: TECNOLOGIA SOCIAL E AMBIENTAL APOIANDO COMUNIDADES TRADICIONAIS NO NORDESTE DO BRASIL";"CAPITAL";"R$        53.146,00"
"CULTIVO DE ALGAS MARINHAS: TECNOLOGIA SOCIAL E AMBIENTAL APOIANDO COMUNIDADES TRADICIONAIS NO NORDESTE DO BRASIL";"CUSTEIO";"R$        62.355,00"
"CULTIVO DE ALGAS MARINHAS: TECNOLOGIA SOCIAL E AMBIENTAL APOIANDO COMUNIDADES TRADICIONAIS NO NORDESTE DO BRASIL";"DIÁRIAS";"R$         9.617,60"
"CULTIVO DE ALGAS MARINHAS: TECNOLOGIA SOCIAL E AMBIENTAL APOIANDO COMUNIDADES TRADICIONAIS NO NORDESTE DO BRASIL";"EQUIP. MATERIAL PERMANENTE";"R$        10.840,00"
"CULTIVO DE ALGAS MARINHAS: TECNOLOGIA SOCIAL E AMBIENTAL APOIANDO COMUNIDADES TRADICIONAIS NO NORDESTE DO BRASIL";"MAT. CONSUMO";"R$        13.778,04"
"CULTIVO DE ALGAS MARINHAS: TECNOLOGIA SOCIAL E AMBIENTAL APOIANDO COMUNIDADES TRADICIONAIS NO NORDESTE DO BRASIL";"PASSAGENS";"R$        11.248,31"
"CULTIVO DE ALGAS MARINHAS: TECNOLOGIA SOCIAL E AMBIENTAL APOIANDO COMUNIDADES TRADICIONAIS NO NORDESTE DO BRASIL";"SERV. PESSOA JURÍDICA";"R$             0,00"
"CULTIVO E PROCESSAMENTO DE ALGAS MARINHAS";"AUX. FINANCEIRO ESTUDANTE";"R$        16.320,00"
"CULTIVO E PROCESSAMENTO DE ALGAS MARINHAS";"CAPITAL";"R$        25.996,00"
"CULTIVO E PROCESSAMENTO DE ALGAS MARINHAS";"CUSTEIO";"R$        85.237,50"
"CULTIVO E PROCESSAMENTO DE ALGAS MARINHAS";"DIÁRIAS";"R$        20.073,66"
"CULTIVO E PROCESSAMENTO DE ALGAS MARINHAS";"EQUIP. MATERIAL PERMANENTE";"R$        12.079,80"
"CULTIVO E PROCESSAMENTO DE ALGAS MARINHAS";"MAT. CONSUMO";"R$        13.900,80"
"CULTIVO E PROCESSAMENTO DE ALGAS MARINHAS";"PASSAGENS";"R$         4.146,22"
"CULTIVO E PROCESSAMENTO DE ALGAS MARINHAS";"SERV. PESSOA JURÍDICA";"R$           198,00"
"CULTURA, VIVÊNCIA E CONTEMPORANEIDADE INDÍGENA NO RIO GRANDE DO NORTE (2015)";"CUSTEIO";"R$         3.140,55"
"CULTURA, VIVÊNCIA E CONTEMPORANEIDADE INDÍGENA NO RIO GRANDE DO NORTE (2015)";"DIÁRIAS";"R$         1.937,55"
"CURSO DE APERFEIÇOAMENTO E EXTENSÃO EM CIRURGIA BUCAL";"CUSTEIO";"R$        93.480,44"
"CURSO DE APERFEIÇOAMENTO E EXTENSÃO EM CIRURGIA BUCAL";"OBRIGAÇÕES PATRONAIS";"R$             0,00"
"CURSO DE APERFEIÇOAMENTO E EXTENSÃO EM CIRURGIA BUCAL";"SERV. PESSOA FÍSICA";"R$        72.455,17"
"CURSO DE APERFEIÇOAMENTO EM PRÓTESE SOBRE IMPLANTES";"CUSTEIO";"R$        84.476,98"
"CURSO DE APERFEIÇOAMENTO EM PRÓTESE SOBRE IMPLANTES";"OBRIGAÇÕES PATRONAIS";"R$             0,00"
"CURSO DE APERFEIÇOAMENTO EM PRÓTESE SOBRE IMPLANTES";"SERV. PESSOA FÍSICA";"R$        40.220,00"
"CURSO DE APERFEIÇOAMENTO EM PRÓTESE SOBRE IMPLANTES";"SERV. PESSOA JURÍDICA";"R$         1.800,00"
"CURSO DE APRIMORAMENTO EM DENTÍSTICA";"CUSTEIO";"R$       273.552,08"
"CURSO DE APRIMORAMENTO EM DENTÍSTICA";"OBRIGAÇÕES PATRONAIS";"R$        12.282,85"
"CURSO DE APRIMORAMENTO EM DENTÍSTICA";"SERV. PESSOA FÍSICA";"R$       195.164,29"
"CURSO DE APRIMORAMENTO EM ORTODONTIA PREVENTIVA E INTERCEPTATIVA";"CUSTEIO";"R$        50.864,24"
"CURSO DE APRIMORAMENTO EM ORTODONTIA PREVENTIVA E INTERCEPTATIVA";"OBRIGAÇÕES PATRONAIS";"R$         1.633,37"
"CURSO DE APRIMORAMENTO EM ORTODONTIA PREVENTIVA E INTERCEPTATIVA";"SERV. PESSOA FÍSICA";"R$        21.600,00"
"CURSO DE ESPECIALIZAÇÃO EM ARQUEOLOGIA DO NORDESTE BRASILEIRO";"CUSTEIO";"R$        83.714,19"
"CURSO DE ESPECIALIZAÇÃO EM ARQUEOLOGIA DO NORDESTE BRASILEIRO";"DIÁRIAS";"R$             0,00"
"CURSO DE ESPECIALIZAÇÃO EM ARQUEOLOGIA DO NORDESTE BRASILEIRO";"OBRIGAÇÕES PATRONAIS";"R$             0,00"
"CURSO DE ESPECIALIZAÇÃO EM ARQUEOLOGIA DO NORDESTE BRASILEIRO";"SERV. PESSOA FÍSICA";"R$        22.904,20"
"CURSO DE ESPECIALIZAÇÃO EM ARQUEOLOGIA DO NORDESTE BRASILEIRO";"SERV. PESSOA JURÍDICA";"R$         2.700,00"
"CURSO DE ESPECIALIZAÇÃO EM AUDIOLOGIA";"CUSTEIO";"R$        88.533,75"
"CURSO DE ESPECIALIZAÇÃO EM AUDIOLOGIA";"OBRIGAÇÕES PATRONAIS";"R$           480,00"
"CURSO DE ESPECIALIZAÇÃO EM AUDIOLOGIA";"PASSAGENS";"R$         1.455,52"
"CURSO DE ESPECIALIZAÇÃO EM AUDIOLOGIA";"SERV. PESSOA FÍSICA";"R$        30.560,00"
"CURSO DE ESPECIALIZAÇÃO EM AUDIOLOGIA";"SERV. PESSOA JURÍDICA";"R$           723,00"
"CURSO DE ESPECIALIZAÇÃO EM DENTÍSTICA";"CUSTEIO";"R$       401.601,00"
"CURSO DE ESPECIALIZAÇÃO EM DENTÍSTICA";"OBRIGAÇÕES PATRONAIS";"R$         4.972,50"
"CURSO DE ESPECIALIZAÇÃO EM DENTÍSTICA";"SERV. PESSOA FÍSICA";"R$       205.469,31"
"CURSO DE ESPECIALIZAÇÃO EM DENTÍSTICA";"SERV. PESSOA JURÍDICA";"R$        13.770,73"
"CURSO DE ESPECIALIZAÇÃO EM ENSINO DE PORTUGUÊS E LINGUÍSTICA";"CUSTEIO";"R$       153.198,37"
"CURSO DE ESPECIALIZAÇÃO EM ENSINO DE PORTUGUÊS E LINGUÍSTICA";"SERV. PESSOA FÍSICA";"R$        70.600,00"
"CURSO DE ESPECIALIZAÇÃO EM ENSINO DE PORTUGUÊS E LINGUÍSTICA";"SERV. PESSOA JURÍDICA";"R$             0,00"
"CURSO DE ESPECIALIZAÇÃO EM ENSINO E APRENDIZAGEM DE LÍNGUAS";"CUSTEIO";"R$       130.034,28"
"CURSO DE ESPECIALIZAÇÃO EM ENSINO E APRENDIZAGEM DE LÍNGUAS";"OBRIGAÇÕES PATRONAIS";"R$             0,00"
"CURSO DE ESPECIALIZAÇÃO EM ENSINO E APRENDIZAGEM DE LÍNGUAS";"SERV. PESSOA FÍSICA";"R$        32.450,00"
"CURSO DE ESPECIALIZAÇÃO EM ENSINO E APRENDIZAGEM DE LÍNGUAS";"SERV. PESSOA JURÍDICA";"R$           900,00"
"CURSO DE ESPECIALIZAÇÃO EM FISIOLOGIA CLINICA DO EXERCÍCIO.";"AUX. FINANCEIRO ESTUDANTE";"R$         2.000,00"
"CURSO DE ESPECIALIZAÇÃO EM FISIOLOGIA CLINICA DO EXERCÍCIO.";"CUSTEIO";"R$       609.179,22"
"CURSO DE ESPECIALIZAÇÃO EM FISIOLOGIA CLINICA DO EXERCÍCIO.";"DIÁRIAS";"R$        13.565,52"
"CURSO DE ESPECIALIZAÇÃO EM FISIOLOGIA CLINICA DO EXERCÍCIO.";"EQUIP. MATERIAL PERMANENTE";"R$        11.544,00"
"CURSO DE ESPECIALIZAÇÃO EM FISIOLOGIA CLINICA DO EXERCÍCIO.";"OBRIGAÇÕES PATRONAIS";"R$         1.200,00"
"CURSO DE ESPECIALIZAÇÃO EM FISIOLOGIA CLINICA DO EXERCÍCIO.";"PASSAGENS";"R$         8.123,93"
"CURSO DE ESPECIALIZAÇÃO EM FISIOLOGIA CLINICA DO EXERCÍCIO.";"SERV. PESSOA FÍSICA";"R$       102.100,00"
"CURSO DE ESPECIALIZAÇÃO EM FISIOLOGIA CLINICA DO EXERCÍCIO.";"SERV. PESSOA JURÍDICA";"R$         2.353,85"
"CURSO DE ESPECIALIZAÇÃO EM GESTÃO ESTRATÉGICA DE NEGÓCIOS.";"CUSTEIO";"R$       217.050,75"
"CURSO DE ESPECIALIZAÇÃO EM GESTÃO ESTRATÉGICA DE NEGÓCIOS.";"DIÁRIAS";"R$         2.130,02"
"CURSO DE ESPECIALIZAÇÃO EM GESTÃO ESTRATÉGICA DE NEGÓCIOS.";"MAT. CONSUMO";"R$         1.216,60"
"CURSO DE ESPECIALIZAÇÃO EM GESTÃO ESTRATÉGICA DE NEGÓCIOS.";"OBRIGAÇÕES PATRONAIS";"R$         2.100,00"
"CURSO DE ESPECIALIZAÇÃO EM GESTÃO ESTRATÉGICA DE NEGÓCIOS.";"PASSAGENS";"R$             0,00"
"CURSO DE ESPECIALIZAÇÃO EM GESTÃO ESTRATÉGICA DE NEGÓCIOS.";"SERV. PESSOA FÍSICA";"R$       122.146,50"
"CURSO DE ESPECIALIZAÇÃO EM GESTÃO ESTRATÉGICA DE NEGÓCIOS.";"SERV. PESSOA JURÍDICA";"R$         8.250,00"
"CURSO DE ESPECIALIZAÇÃO EM GESTÃO ESTRATÉGICA DE SISTEMA DE INFORMAÇÃO";"CUSTEIO";"R$        66.458,40"
"CURSO DE ESPECIALIZAÇÃO EM GESTÃO ESTRATÉGICA DE SISTEMA DE INFORMAÇÃO";"SERV. PESSOA FÍSICA";"R$        72.600,00"
"CURSO DE ESPECIALIZAÇÃO EM GESTÃO ESTRATÉGICA DE SISTEMA DE INFORMAÇÃO";"SERV. PESSOA JURÍDICA";"R$        52.990,00"
"CURSO DE ESPECIALIZAÇÃO EM LEITURA E PRODUÇÃO DE TEXTO (2016)";"CUSTEIO";"R$        51.190,82"
"CURSO DE ESPECIALIZAÇÃO EM LEITURA E PRODUÇÃO DE TEXTO (2016)";"SERV. PESSOA FÍSICA";"R$        13.600,00"
"CURSO DE ESPECIALIZAÇÃO EM LEITURA E PRODUÇÃO DE TEXTO (2016)";"SERV. PESSOA JURÍDICA";"R$             0,00"
"CURSO DE ESPECIALIZAÇÃO EM LITERATURA AFRO-BRASILEIRA";"CUSTEIO";"R$        44.222,82"
"CURSO DE ESPECIALIZAÇÃO EM LITERATURA AFRO-BRASILEIRA";"OBRIGAÇÕES PATRONAIS";"R$             0,00"
"CURSO DE ESPECIALIZAÇÃO EM LITERATURA AFRO-BRASILEIRA";"SERV. PESSOA FÍSICA";"R$        20.500,00"
"CURSO DE ESPECIALIZAÇÃO EM LITERATURA AFRO-BRASILEIRA";"SERV. PESSOA JURÍDICA";"R$         1.530,00"
"CURSO DE ESPECIALIZAÇÃO EM PERIODONTIA";"CUSTEIO";"R$       361.930,78"
"CURSO DE ESPECIALIZAÇÃO EM PERIODONTIA";"OBRIGAÇÕES PATRONAIS";"R$         3.440,00"
"CURSO DE ESPECIALIZAÇÃO EM PERIODONTIA";"SERV. PESSOA FÍSICA";"R$       172.725,00"
"CURSO DE ESPECIALIZAÇÃO EM SAÚDE COLETIVA";"CUSTEIO";"R$        70.442,63"
"CURSO DE ESPECIALIZAÇÃO EM SAÚDE COLETIVA";"MAT. CONSUMO";"R$           901,07"
"CURSO DE ESPECIALIZAÇÃO EM SAÚDE COLETIVA";"OBRIGAÇÕES PATRONAIS";"R$           560,00"
"CURSO DE ESPECIALIZAÇÃO EM SAÚDE COLETIVA";"SERV. PESSOA FÍSICA";"R$        29.500,00"
"CURSO DE ESPECIALIZAÇÃO: ENSINO DE ARTES NA EDUCAÇÃO BASICA: MUSICA";"CUSTEIO";"R$       252.785,48"
"CURSO DE ESPECIALIZAÇÃO: ENSINO DE ARTES NA EDUCAÇÃO BASICA: MUSICA";"DIÁRIAS";"R$         2.132,10"
"CURSO DE ESPECIALIZAÇÃO: ENSINO DE ARTES NA EDUCAÇÃO BASICA: MUSICA";"OBRIGAÇÕES PATRONAIS";"R$           960,00"
"CURSO DE ESPECIALIZAÇÃO: ENSINO DE ARTES NA EDUCAÇÃO BASICA: MUSICA";"PASSAGENS";"R$         4.573,98"
"CURSO DE ESPECIALIZAÇÃO: ENSINO DE ARTES NA EDUCAÇÃO BASICA: MUSICA";"SERV. PESSOA FÍSICA";"R$        24.400,00"
"CURSO DE ESPECIALIZAÇÃO: ENSINO DE ARTES NA EDUCAÇÃO BASICA: MUSICA";"SERV. PESSOA JURÍDICA";"R$         1.331,90"
"CURSO DE EXTENSÃO EM GESTÃO ESTRATÉGICA DA INOVAÇÃO";"CUSTEIO";"R$        55.544,06"
"CURSO DE EXTENSÃO EM GESTÃO ESTRATÉGICA DA INOVAÇÃO";"OBRIGAÇÕES PATRONAIS";"R$           276,00"
"CURSO DE EXTENSÃO EM GESTÃO ESTRATÉGICA DA INOVAÇÃO";"SERV. PESSOA FÍSICA";"R$        23.047,00"
"CURSO DE GRADUAÇÃO DE TECNOLOGIA E GESTÃO PUBLICA";"CUSTEIO";"R$       561.382,39"
"CURSO DE GRADUAÇÃO DE TECNOLOGIA E GESTÃO PUBLICA";"OBRIGAÇÕES PATRONAIS";"R$         2.423,47"
"CURSO DE GRADUAÇÃO DE TECNOLOGIA E GESTÃO PUBLICA";"SERV. PESSOA FÍSICA";"R$       240.961,34"
"CURSO DE GRADUAÇÃO DE TECNOLOGIA E GESTÃO PUBLICA";"SERV. PESSOA JURÍDICA";"R$        81.662,00"
"CURSO DE INICIAÇÃO ARTÍSTICA - CIART";"CUSTEIO";"R$         9.135,00"
"CURSO DE INICIAÇÃO ARTÍSTICA  CIART";"AUX. FINANCEIRO ESTUDANTE";"R$           320,00"
"CURSO DE INICIAÇÃO ARTÍSTICA  CIART";"CUSTEIO";"R$        10.859,24"
"CURSO DE INICIAÇÃO ARTÍSTICA  CIART";"EQUIP. MATERIAL PERMANENTE";"R$         7.521,23"
"CURSO DE INICIAÇÃO ARTÍSTICA  CIART";"MAT. CONSUMO";"R$         2.430,51"
"CURSO DE INICIAÇÃO ARTÍSTICA  CIART";"SERV. PESSOA FÍSICA";"R$           265,50"
"CURSO DE INICIAÇÃO ARTÍSTICA  CIART";"SERV. PESSOA JURÍDICA";"R$           255,40"
"CURSO DE MESTRADO PROFISSIONAL EM GESTAO PUBLICA/SEARH";"SERV. PESSOA JURÍDICA";"R$        75.095,00"
"CURSO MASTER: ARTE E CIÊNCIA EM RESTAURAÇÕES CERÂMICAS";"CUSTEIO";"R$        34.173,02"
"CURSO MASTER: ARTE E CIÊNCIA EM RESTAURAÇÕES CERÂMICAS";"OBRIGAÇÕES PATRONAIS";"R$         1.228,00"
"CURSO MASTER: ARTE E CIÊNCIA EM RESTAURAÇÕES CERÂMICAS";"SERV. PESSOA FÍSICA";"R$        14.890,00"
"CURSOS E EVENTOS/PROEX";"CUSTEIO";"R$       200.449,84"
"CURSOS PREPARATÓRIOS P/ALUNOS DE ESCOLA PUBLICA - CPAEP";"AUX. FINANCEIRO ESTUDANTE";"R$     1.355.320,00"
"CURSOS PREPARATÓRIOS P/ALUNOS DE ESCOLA PUBLICA - CPAEP";"CUSTEIO";"R$     2.308.068,72"
"CURSOS PREPARATÓRIOS P/ALUNOS DE ESCOLA PUBLICA - CPAEP";"EQUIP. MATERIAL PERMANENTE";"R$           250,00"
"CURSOS PREPARATÓRIOS P/ALUNOS DE ESCOLA PUBLICA - CPAEP";"MAT. CONSUMO";"R$         1.421,79"
"CURSOS PREPARATÓRIOS P/ALUNOS DE ESCOLA PUBLICA - CPAEP";"SERV. PESSOA JURÍDICA";"R$       143.084,86"
"CURSO TECNOLOGICO EM GESTAO PUBLICA A DISTANCIA";"CUSTEIO";"R$     3.037.178,84"
"CURSO TECNOLOGICO EM GESTAO PUBLICA A DISTANCIA";"DIÁRIAS";"R$        14.894,49"
"CURSO TECNOLOGICO EM GESTAO PUBLICA A DISTANCIA";"DIV.EXERCÍCIOS ANTERIORES";"R$         2.128,05"
"CURSO TECNOLOGICO EM GESTAO PUBLICA A DISTANCIA";"EQUIP. MATERIAL PERMANENTE";"R$         2.495,00"
"CURSO TECNOLOGICO EM GESTAO PUBLICA A DISTANCIA";"MAT. CONSUMO";"R$           617,18"
"CURSO TECNOLOGICO EM GESTAO PUBLICA A DISTANCIA";"OBRIGAÇÕES PATRONAIS";"R$        25.609,44"
"CURSO TECNOLOGICO EM GESTAO PUBLICA A DISTANCIA";"SERV. PESSOA FÍSICA";"R$       511.645,23"
"CURSO TECNOLOGICO EM GESTAO PUBLICA A DISTANCIA";"SERV. PESSOA JURÍDICA";"R$     2.035.872,85"
"CUSTEIO - AÇÕES ASSOCIADAS";"CUSTEIO";"R$       600.658,14"
"DAP - SECRETARIA ADMINISTRATIVA";"AUX. FINANCEIRO ESTUDANTE";"R$             0,00"
"DAP - SECRETARIA ADMINISTRATIVA";"CUSTEIO";"R$           378,00"
"DAP - SECRETARIA ADMINISTRATIVA";"DIÁRIAS";"R$         6.443,55"
"DAP - SECRETARIA ADMINISTRATIVA";"DIV.EXERCÍCIOS ANTERIORES";"R$            99,28"
"DAP - SECRETARIA ADMINISTRATIVA";"EQUIP. MATERIAL PERMANENTE";"R$       137.196,53"
"DAP - SECRETARIA ADMINISTRATIVA";"MAT. CONSUMO";"R$        48.304,92"
"DAP - SECRETARIA ADMINISTRATIVA";"OBRIGAÇÕES PATRONAIS";"R$         5.644,40"
"DAP - SECRETARIA ADMINISTRATIVA";"PAGAMENTO DE CAPITAL";"R$        57.083,15"
"DAP - SECRETARIA ADMINISTRATIVA";"PASSAGENS";"R$         3.060,20"
"DAP - SECRETARIA ADMINISTRATIVA";"SERV. PESSOA FÍSICA";"R$        30.989,16"
"DAP - SECRETARIA ADMINISTRATIVA";"SERV. PESSOA JURÍDICA";"R$       224.873,84"
"DA SEMENTE À COPA";"CUSTEIO";"R$         2.000,00"
"DA SEMENTE À COPA";"MAT. CONSUMO";"R$         1.600,00"
"DA SEMENTE À COPA (DO MUNDO)";"CUSTEIO";"R$         4.980,00"
"DA SEMENTE À COPA (DO MUNDO)";"EQUIP. MATERIAL PERMANENTE";"R$         2.000,22"
"DAS/PROGESP - DIRETORIA DE ATENÇÃO À SAÚDE DO SERVIDOR";"AUX. FINANCEIRO ESTUDANTE";"R$           200,00"
"DAS/PROGESP - DIRETORIA DE ATENÇÃO À SAÚDE DO SERVIDOR";"CUSTEIO";"R$     1.394.491,79"
"DAS/PROGESP - DIRETORIA DE ATENÇÃO À SAÚDE DO SERVIDOR";"DIÁRIAS";"R$        39.797,98"
"DAS/PROGESP - DIRETORIA DE ATENÇÃO À SAÚDE DO SERVIDOR";"EQUIP. MATERIAL PERMANENTE";"R$       186.150,65"
"DAS/PROGESP - DIRETORIA DE ATENÇÃO À SAÚDE DO SERVIDOR";"EXCLUSIVO PARA CONV. DNOC - MATERIAL DE CONSUMO";"R$           600,00"
"DAS/PROGESP - DIRETORIA DE ATENÇÃO À SAÚDE DO SERVIDOR";"INDENIZAÇÕES E RESTITUIÇÕE";"R$         1.250,00"
"DAS/PROGESP - DIRETORIA DE ATENÇÃO À SAÚDE DO SERVIDOR";"LOC. MÃO-DE-OBRA";"R$       222.473,95"
"DAS/PROGESP - DIRETORIA DE ATENÇÃO À SAÚDE DO SERVIDOR";"MAT. CONSUMO";"R$       699.708,04"
"DAS/PROGESP - DIRETORIA DE ATENÇÃO À SAÚDE DO SERVIDOR";"OBRIGAÇÕES CONTRIBUTIVAS";"R$           620,00"
"DAS/PROGESP - DIRETORIA DE ATENÇÃO À SAÚDE DO SERVIDOR";"OBRIGAÇÕES PATRONAIS";"R$         4.277,10"
"DAS/PROGESP - DIRETORIA DE ATENÇÃO À SAÚDE DO SERVIDOR";"PAGAMENTO DE CAPITAL";"R$        33.127,69"
"DAS/PROGESP - DIRETORIA DE ATENÇÃO À SAÚDE DO SERVIDOR";"PASSAGENS";"R$        41.057,47"
"DAS/PROGESP - DIRETORIA DE ATENÇÃO À SAÚDE DO SERVIDOR";"SERV. PESSOA FÍSICA";"R$        24.266,35"
"DAS/PROGESP - DIRETORIA DE ATENÇÃO À SAÚDE DO SERVIDOR";"SERV. PESSOA JURÍDICA";"R$     3.290.433,25"
"DASS - SECRETARIA ADMINSITRATIVA";"PASSAGENS";"R$           860,24"
"DA UNIVERSIDADE À ORIGEM: APRENDENDO E DESENVOLVENDO A AQUICULTURA EM SUA TERRA NATAL";"AUX. FINANCEIRO ESTUDANTE";"R$         7.360,00"
"DA UNIVERSIDADE À ORIGEM: APRENDENDO E DESENVOLVENDO A AQUICULTURA EM SUA TERRA NATAL";"CAPITAL";"R$        23.940,00"
"DA UNIVERSIDADE À ORIGEM: APRENDENDO E DESENVOLVENDO A AQUICULTURA EM SUA TERRA NATAL";"CUSTEIO";"R$        88.327,74"
"DA UNIVERSIDADE À ORIGEM: APRENDENDO E DESENVOLVENDO A AQUICULTURA EM SUA TERRA NATAL";"DIÁRIAS";"R$        15.606,30"
"DA UNIVERSIDADE À ORIGEM: APRENDENDO E DESENVOLVENDO A AQUICULTURA EM SUA TERRA NATAL";"EQUIP. MATERIAL PERMANENTE";"R$        22.995,16"
"DA UNIVERSIDADE À ORIGEM: APRENDENDO E DESENVOLVENDO A AQUICULTURA EM SUA TERRA NATAL";"MAT. CONSUMO";"R$        49.354,83"
"DA UNIVERSIDADE ÀS ORIGENS: APRENDENDO";"AUX. FINANCEIRO ESTUDANTE";"R$         4.160,00"
"DA UNIVERSIDADE ÀS ORIGENS: APRENDENDO";"CAPITAL";"R$        29.940,00"
"DA UNIVERSIDADE ÀS ORIGENS: APRENDENDO";"CUSTEIO";"R$        75.798,00"
"DA UNIVERSIDADE ÀS ORIGENS: APRENDENDO";"DIÁRIAS";"R$         5.991,58"
"DA UNIVERSIDADE ÀS ORIGENS: APRENDENDO";"EQUIP. MATERIAL PERMANENTE";"R$        42.492,63"
"DA UNIVERSIDADE ÀS ORIGENS: APRENDENDO";"MAT. CONSUMO";"R$        40.617,64"
"DA UNIVERSIDADE ÀS ORIGENS: APRENDENDO";"PASSAGENS";"R$         3.916,90"
"DA UNIVERSIDADE ÀS ORIGENS: APRENDENDO E DESENVOLVENDO A AQUICULTURA EM SUA TERRA NATAL";"AUX. FINANCEIRO ESTUDANTE";"R$         2.000,00"
"DA UNIVERSIDADE ÀS ORIGENS: APRENDENDO E DESENVOLVENDO A AQUICULTURA EM SUA TERRA NATAL";"CAPITAL";"R$        60.000,00"
"DA UNIVERSIDADE ÀS ORIGENS: APRENDENDO E DESENVOLVENDO A AQUICULTURA EM SUA TERRA NATAL";"CUSTEIO";"R$        55.819,55"
"DA UNIVERSIDADE ÀS ORIGENS: APRENDENDO E DESENVOLVENDO A AQUICULTURA EM SUA TERRA NATAL";"DIÁRIAS";"R$        12.229,75"
"DA UNIVERSIDADE ÀS ORIGENS: APRENDENDO E DESENVOLVENDO A AQUICULTURA EM SUA TERRA NATAL";"EQUIP. MATERIAL PERMANENTE";"R$        59.930,21"
"DA UNIVERSIDADE ÀS ORIGENS: APRENDENDO E DESENVOLVENDO A AQUICULTURA EM SUA TERRA NATAL";"MAT. CONSUMO";"R$        77.225,42"
"DA UNIVERSIDADE ÀS ORIGENS: APRENDENDO E DESENVOLVENDO A AQUICULTURA EM SUA TERRA NATAL";"PASSAGENS";"R$        10.566,40"
"DA UNIVERSIDADE ÀS ORIGENS: APRENDENDO E DESENVOLVENDO A AQUICULTURA EM SUA TERRA NATAL";"SERV. PESSOA JURÍDICA";"R$        20.952,62"
"DDP/PROGESP - DIRETORIA DE DESENVOLVIMENTO DE PESSOAS";"AUX. FINANCEIRO ESTUDANTE";"R$        35.270,00"
"DDP/PROGESP - DIRETORIA DE DESENVOLVIMENTO DE PESSOAS";"CUSTEIO";"R$     4.535.275,63"
"DDP/PROGESP - DIRETORIA DE DESENVOLVIMENTO DE PESSOAS";"DIÁRIAS";"R$        50.036,34"
"DDP/PROGESP - DIRETORIA DE DESENVOLVIMENTO DE PESSOAS";"DIV.EXERCÍCIOS ANTERIORES";"R$         1.200,00"
"DDP/PROGESP - DIRETORIA DE DESENVOLVIMENTO DE PESSOAS";"EQUIP. MATERIAL PERMANENTE";"R$       472.238,41"
"DDP/PROGESP - DIRETORIA DE DESENVOLVIMENTO DE PESSOAS";"INDENIZAÇÕES E RESTITUIÇÕE";"R$         5.020,56"
"DDP/PROGESP - DIRETORIA DE DESENVOLVIMENTO DE PESSOAS";"LOC. MÃO-DE-OBRA";"R$       102.996,52"
"DDP/PROGESP - DIRETORIA DE DESENVOLVIMENTO DE PESSOAS";"MAT. CONSUMO";"R$       302.882,52"
"DDP/PROGESP - DIRETORIA DE DESENVOLVIMENTO DE PESSOAS";"OBRIGAÇÕES CONTRIBUTIVAS";"R$        12.373,13"
"DDP/PROGESP - DIRETORIA DE DESENVOLVIMENTO DE PESSOAS";"OBRIGAÇÕES PATRONAIS";"R$       136.357,02"
"DDP/PROGESP - DIRETORIA DE DESENVOLVIMENTO DE PESSOAS";"PAGAMENTO DE CAPITAL";"R$        37.971,20"
"DDP/PROGESP - DIRETORIA DE DESENVOLVIMENTO DE PESSOAS";"PASSAGENS";"R$        89.330,54"
"DDP/PROGESP - DIRETORIA DE DESENVOLVIMENTO DE PESSOAS";"SERVIÇOS / UG-GESTÃO";"R$         3.000,00"
"DDP/PROGESP - DIRETORIA DE DESENVOLVIMENTO DE PESSOAS";"SERV. PESSOA FÍSICA";"R$     2.509.608,77"
"DDP/PROGESP - DIRETORIA DE DESENVOLVIMENTO DE PESSOAS";"SERV. PESSOA JURÍDICA";"R$       259.387,48"
"DEBULHA 2016 | ATRAVÉS DO CAOS";"CUSTEIO";"R$         5.000,00"
"DECLÍNIO DA MOBILIDADE NA VELHICE";"AUX. FINANCEIRO ESTUDANTE";"R$       118.500,00"
"DECLÍNIO DA MOBILIDADE NA VELHICE";"CUSTEIO";"R$       246.640,64"
"DECLÍNIO DA MOBILIDADE NA VELHICE";"DIÁRIAS";"R$        12.688,26"
"DECLÍNIO DA MOBILIDADE NA VELHICE";"PASSAGENS";"R$           365,02"
"DECLÍNIO DA MOBILIDADE NA VELHICE";"SERV. PESSOA JURÍDICA";"R$            60,24"
"DE FORA ADENTRO: MAPA GIGANTE NATAL";"CUSTEIO";"R$         3.600,00"
